"Study_id","train_layer","test_layer","threshold","TP","FN","TN","FP","specificity","precision","recall","f1_score","balanced_accuracy","mcc","mse","rmse"
"1_Bartomeus",2,3,0.4,6,0,0,6,0,0.5,1,0.666666666666667,0.5,NA,5.13323827857366,1.85780780406393
"1_Bartomeus",2,3,0.5,4.02,1.98,2.28,3.72,0.38,0.523046897546898,0.67,0.578113229907348,0.525,0.0505603311944041,5.13323827857366,1.85780780406393
"1_Bartomeus",2,3,0.6,2.78,3.22,3.78,2.22,0.63,0.563404761904762,0.463333333333333,0.503414952394544,0.546666666666667,0.10030268711983,5.13323827857366,1.85780780406393
"1_Bartomeus",2,3,0.7,1.86,4.14,4.26,1.74,0.71,0.543391642371234,0.31,0.393069777444777,0.51,0.0314437247952412,5.13323827857366,1.85780780406393
"1_Bartomeus",2,3,0.8,0.94,5.06,4.84,1.16,0.806666666666667,0.493181818181818,0.156666666666667,0.330027548209366,0.481666666666667,-0.0369462197005532,5.13323827857366,1.85780780406393
"1_Bartomeus",2,3,0.9,0.34,5.66,5.68,0.32,0.946666666666667,0.570833333333333,0.0566666666666667,0.313888888888889,0.501666666666667,0.0314619899052749,5.13323827857366,1.85780780406393
"1_Bartomeus",2,3,1,0,6,6,0,1,NA,0,NA,0.5,NA,5.13323827857366,1.85780780406393
"1_Bartomeus",2,4,0,8,0,0,8,0,0.5,1,0.666666666666667,0.5,NA,2.08607963534929,1.32916364607471
"1_Bartomeus",2,4,0.1,8,0,0,8,0,0.5,1,0.666666666666667,0.5,NA,2.08607963534929,1.32916364607471
"1_Bartomeus",2,4,0.2,8,0,0,8,0,0.5,1,0.666666666666667,0.5,NA,2.08607963534929,1.32916364607471
"1_Bartomeus",2,4,0.3,8,0,0,8,0,0.5,1,0.666666666666667,0.5,NA,2.08607963534929,1.32916364607471
"1_Bartomeus",2,4,0.4,8,0,0,8,0,0.5,1,0.666666666666667,0.5,NA,2.08607963534929,1.32916364607471
"1_Bartomeus",2,4,0.5,6.5,1.5,3.42,4.58,0.4275,0.59640564990565,0.8125,0.68224808795996,0.62,0.256007113695355,2.08607963534929,1.32916364607471
"1_Bartomeus",2,4,0.6,5.54,2.46,4.84,3.16,0.605,0.646316017316017,0.6925,0.660931691975036,0.64875,0.304842572944253,2.08607963534929,1.32916364607471
"1_Bartomeus",2,4,0.7,4.9,3.1,5.6,2.4,0.7,0.681156565656566,0.6125,0.63646566831861,0.65625,0.320013410715226,2.08607963534929,1.32916364607471
"1_Bartomeus",2,4,0.8,2.88,5.12,6.86,1.14,0.8575,0.74067055393586,0.36,0.477740173658541,0.60875,0.262439767945555,2.08607963534929,1.32916364607471
"1_Bartomeus",2,4,0.9,0.52,7.48,7.7,0.3,0.9625,0.648550724637681,0.065,0.288720538720539,0.51375,0.0997834242872506,2.08607963534929,1.32916364607471
"1_Bartomeus",2,4,1,0,8,8,0,1,NA,0,NA,0.5,NA,2.08607963534929,1.32916364607471
"1_Bartomeus",2,5,0,14,0,0,14,0,0.5,1,0.666666666666667,0.5,NA,4.42543056294084,1.97268106362853
"1_Bartomeus",2,5,0.1,14,0,0,14,0,0.5,1,0.666666666666667,0.5,NA,4.42543056294084,1.97268106362853
"1_Bartomeus",2,5,0.2,14,0,0,14,0,0.5,1,0.666666666666667,0.5,NA,4.42543056294084,1.97268106362853
"1_Bartomeus",2,5,0.3,14,0,0,14,0,0.5,1,0.666666666666667,0.5,NA,4.42543056294084,1.97268106362853
"1_Bartomeus",2,5,0.4,14,0,0,14,0,0.5,1,0.666666666666667,0.5,NA,4.42543056294084,1.97268106362853
"1_Bartomeus",2,5,0.5,11.94,2.06,4.7,9.3,0.335714285714286,0.564845710694883,0.852857142857143,0.677945800852953,0.594285714285714,0.216451549320748,4.42543056294084,1.97268106362853
